Sampling_date,Site,Replicate_number,Cyano,Green,Diatoms,Chlorophyll A,Velocity,Sample Type
2024-07-24,C1.5,1,0.2,0.31,0,0.51,0.18,Top rock
2024-07-24,C1.5,2,0.39,0,0.91,1.3,0.157,Top rock
2024-07-24,C1.5,3,0.15,0.36,0,0.51,0.192,Top rock
2024-07-24,C1.5,4,0.27,0.17,0.05,0.49,0.212,Top rock
2024-07-24,C1.5,5,0.4,0.09,0.01,0.5,0.225,Top rock
2024-07-24,C1.5,6,0.39,0,0.05,0.44,0.18,Top rock
2024-07-24,C1.5,7,0.18,0.04,0.16,0.38,0.132,Top rock
2024-07-24,C1.5,8,0.62,0.22,0.1,0.94,0.15,Top rock
2024-07-24,C1.5,9,0.43,0,0.12,0.55,0.145,Top rock
2024-07-24,C1.5,10,0.26,0.11,0,0.37,0.155,Top rock
2024-07-24,C1.5,11,0.34,0.16,0.17,0.67,0.089,Top rock
2024-07-24,C1.5,12,0.39,0.08,0.04,0.51,0.15,Top rock
2024-07-24,C1.5,13,0.25,0.01,0.11,0.37,0.18,Top rock
2024-07-24,C1.5,14,0.4,0,0,0.4,0.147,Top rock
2024-07-24,C1.5,15,0.87,0,0.56,1.43,0.082,Top rock
2024-07-24,C1.5,16,0.29,0.07,0.01,0.37,0.205,Top rock
2024-07-24,C1.5,17,0.27,0.12,0.02,0.41,0.175,Top rock
2024-07-24,C1.5,18,0.19,0,0.14,0.33,0.15,Top rock
2024-07-24,C1.5,19,0.32,0.02,0.06,0.4,0.345,Top rock
2024-07-24,C1.5,20,0.38,0.08,0.06,0.52,0.269,Top rock
2024-07-24,C2,1,0.23,0.47,0.18,0.88,0.107,Top rock
2024-07-24,C2,2,0.29,0.11,0.08,0.48,0.132,Top rock
2024-07-24,C2,3,1.13,0,0.2,1.33,0.125,Top rock
2024-07-24,C2,4,0.33,0,0.03,0.36,0.312,Top rock
2024-07-24,C2,5,0.21,0.02,0.01,0.24,0.232,Top rock
2024-07-24,C2,6,0.31,0,0,0.31,0.302,Top rock
2024-07-24,C2,7,0.42,0,0.38,0.8,0.17,Top rock
2024-07-24,C2,8,0.83,0,0,0.83,0.355,Top rock
2024-07-24,C2,9,0.42,0.15,0,0.57,0.11,Top rock
2024-07-24,C2,10,0.15,0.03,0,0.18,0.117,Top rock
2024-07-24,C2,11,0.31,0,0.18,0.49,0.22,Top rock
2024-07-24,C2,12,0.47,0,0.04,0.51,0.235,Top rock
2024-07-24,C2,13,0.23,0.02,0,0.25,0.23,Top rock
2024-07-24,C2,14,0.19,0.07,0,0.26,0.217,Top rock
2024-07-24,C2,15,0.44,0,0.21,0.65,0.077,Top rock
2024-07-24,C2,16,0.19,0.08,0.18,0.45,0.292,Top rock
2024-07-24,C2,17,0.2,0,0,0.2,0.207,Top rock
2024-07-24,C2,18,0.18,0,0,0.18,0.325,Top rock
2024-07-24,C2,19,0.32,0,0.09,0.41,0.242,Top rock
2024-07-24,C2,20,0.2,0.01,0,0.21,0.225,Top rock
2024-07-24,T1,1,0.23,0.05,0.01,0.29,0.245,Top rock
2024-07-24,T1,2,0.1,0.04,0,0.14,0.267,Top rock
2024-07-24,T1,3,0.35,0.15,0.25,0.75,0.222,Top rock
2024-07-24,T1,4,0.2,0.13,0.49,0.82,0.217,Top rock
2024-07-24,T1,5,0.44,0,1.4,1.84,0.087,Top rock
2024-07-24,T1,6,0.25,0.3,0,0.55,0.245,Top rock
2024-07-24,T1,7,0.44,0,1.87,2.31,0.207,Top rock
2024-07-24,T1,8,0.28,0,1.08,1.36,0.112,Top rock
2024-07-24,T1,9,0.15,0.14,0,0.29,0.14,Top rock
2024-07-24,T1,10,0.24,0.44,0.52,1.2,0.16,Top rock
2024-07-24,T1,11,0.36,0.17,1.07,1.6,0.08,Top rock
2024-07-24,T1,12,0.37,0,1.42,1.79,0.114,Top rock
2024-07-24,T1,13,0.27,0,1.01,1.28,0.105,Top rock
2024-07-24,T1,14,0.18,0.37,0.18,0.73,0.107,Top rock
2024-07-24,T1,15,0.32,0,0.93,1.25,0.152,Top rock
2024-07-24,T1,16,0.14,0.01,0,0.15,0.269,Top rock
2024-07-24,T1,17,0.07,0.11,0,0.18,0.132,Top rock
2024-07-24,T1,18,0.26,0.06,0.49,0.81,0.145,Top rock
2024-07-24,T1,19,0.14,0,0,0.14,0.25,Top rock
2024-07-24,T1,20,0.2,0.37,0.16,0.73,0.21,Top rock
2024-07-24,T2,1,0.12,0.18,0,0.3,0.132,Top rock
2024-07-24,T2,2,0.19,0.05,0.15,0.39,0.187,Top rock
2024-07-24,T2,3,0.2,0.41,0,0.61,0.227,Top rock
2024-07-24,T2,4,0.18,0.2,0,0.38,0.282,Top rock
2024-07-24,T2,5,0.11,0.24,0,0.35,0.177,Top rock
2024-07-24,T2,6,0.22,0.07,0.18,0.47,0.074,Top rock
2024-07-24,T2,7,0.13,0.12,0,0.25,0.142,Top rock
2024-07-24,T2,8,0.14,0.12,0.03,0.29,0.112,Top rock
2024-07-24,T2,9,0.57,0,0.78,1.35,0.157,Top rock
