initials,date_entered,sorter_ID,occasion_ID,sample_ID,sample_location,collection_date,sorting_date,grids_sampled,order_name,family_name,life_stage,BL_HW,total_counts,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,empty_case,NOTES,,PROOFED BY,PROOF DATE
HA,1/23/25,HA,,ER0524_SURB1,Eagle River,5/1/24,9/12/24,16,Plecoptera,Perlodidae,L,BL,1,3.3,,,,,,,,,,,,,CV,3/13/26
HA,1/23/25,HA,,ER0524_SURB1,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Ephemerellidae,L,BL,12,6.2,6.2,5.9,6.7,6.1,5.8,5.4,6.3,5.9,5.8,,,,CV,3/13/26
HA,1/23/25,HA,,ER0524_SURB1,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Baetidae,L,BL,3,4.7,4.2,4.3,,,,,,,,,,,CV,3/13/26
HA,1/23/25,HA,,ER0524_SURB1,Eagle River,5/1/24,9/12/24,16,Diptera,Chironomidae,L,BL,17,4.00,3.2,3.4,2.1,1.5,1.7,9.2,3.4,2.8,1.8,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Plecoptera,Perlodidae,L,BL,3,6.2,6.7,5.7,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Ephemerellidae,L,BL,24,6.4,6.5,6.2,4.5,6.2,6.1,5.8,5.4,6.1,5.9,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Baetidae,L,HW,2,4.7,5.2,,,,,,,,,,very large for HW (potential BL),,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Baetidae,L,BL,5,4.1,3.9,4.2,4.9,4.1,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Ephemeroptera,Baetidae,A,BL,1,4.6,,,,,,,,,,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Diptera,Chironomidae,L,BL,12,12.2,5.7,3.4,2.1,4.2,3.1,8.2,2.3,2.4,1.7,,,,CV,3/13/26
GS,2/7/25,HA,,ER0524_SURB2,Eagle River,5/1/24,9/12/24,16,Oligochaeta,worm/oligo,A,BL,3,14,15,5.5,,,,,,,,,,,CV,3/13/26
