Occasion,Year,Month,Location,Sample_ID,Sample_type,Species,Weight (mg),N,d15N,C,d13C,CN
MAY_2021,2021,MAY,C1.5,C1.5052421016,Muscle_Tissue,BNT,1.04,13.31,13.75,45.02,-25.76,3.382419234
MAY_2021,2021,MAY,C1.5,C1.5052421017,Muscle_Tissue,MTS,1.091,12.39,13.49,44.6,-25.55,3.599677159
MAY_2021,2021,MAY,C1.5,C1.5052421020,Muscle_Tissue,BNT,1.055,13.25,13.39,44.94,-25.37,3.391698113
MAY_2021,2021,MAY,C1.5,C1.5052421025,Muscle_Tissue,MTS,1.027,12.84,13.37,45.71,-25.53,3.559968847
MAY_2021,2021,MAY,C1.5,C1.5052421026,Muscle_Tissue,MTS,0.935,12.42,13.42,46.24,-25.18,3.723027375
MAY_2021,2021,MAY,C1.5,C1.5052421030,Muscle_Tissue,MTS,0.976,12.75,13.82,45.42,-25.24,3.562352941
MAY_2021,2021,MAY,C1.5,C1.5052421038,Muscle_Tissue,BNT,1.081,13.15,13.17,44.08,-26.05,3.352091255
MAY_2021,2021,MAY,C1.5,C1.5052421056,Muscle_Tissue,MTS,1.049,12.31,11.77,44.37,-25.91,3.604386677
MAY_2021,2021,MAY,C1.5,C1.5052421085,Muscle_Tissue,BNT,0.958,12.93,13.43,43.14,-25.76,3.336426914
MAY_2021,2021,MAY,C1.5,C1.5052421093,Muscle_Tissue,MTS,0.995,12.67,13.48,44.04,-25.15,3.475927388
MAY_2021,2021,MAY,C1.5,C1.5052421124,Muscle_Tissue,BNT,1.014,13.12,13.37,43.62,-25.72,3.324695122
MAY_2021,2021,MAY,C1.5,C1.5052421130,Muscle_Tissue,BNT,1.025,13.19,13.82,44.77,-25.19,3.394238059
MAY_2021,2021,MAY,C1.5,C1.5052421146,Muscle_Tissue,BNT,0.98,13.15,13.26,44.17,-24.95,3.358935361
MAY_2021,2021,MAY,C1.5,C1.5052421147,Muscle_Tissue,MTS,1.009,13.03,14.76,45.01,-25.39,3.454336147
MAY_2021,2021,MAY,C1.5,C1.5052421148,Muscle_Tissue,MTS,0.988,13.23,13.53,46.5,-25.51,3.514739229
MAY_2021,2021,MAY,C1.5,C1.5052421149,Muscle_Tissue,BNT,1.002,13.18,13.88,44.71,-26.38,3.392261002
MAY_2021,2021,MAY,C1.5,C1.5052421150,Muscle_Tissue,BNT,0.973,13.16,13.96,42.91,-24.87,3.260638298
MAY_2021,2021,MAY,C1.5,C1.5052421151,Muscle_Tissue,BNT,0.98,13.3,13.25,44.69,-24.8,3.360150376
MAY_2021,2021,MAY,C1.5,C1.5052421155,Muscle_Tissue,BNT,0.985,13.18,13.49,44.47,-25.42,3.374051593
MAY_2021,2021,MAY,C1.5,C1.5052421156,Muscle_Tissue,BNT,0.974,13.25,15.11,43.56,-25.44,3.28754717
MAY_2021,2021,MAY,C1.5,C1.5052421157,Muscle_Tissue,BNT,1.188,11.89,13.64,39.74,-25.75,3.342304458
MAY_2021,2021,MAY,C1.5,C1.5052421159,Muscle_Tissue,BNT,1.013,13.36,13.59,44.43,-25.83,3.325598802
MAY_2021,2021,MAY,C1.5,C1.5052421166,Muscle_Tissue,BNT,1.034,13.2,12.32,44.03,-24.28,3.335606061
MAY_2021,2021,MAY,C1.5,C1.5052421167,Muscle_Tissue,BNT,1.046,13.26,13.78,44.14,-24.83,3.328808446
MAY_2021,2021,MAY,C1.5,C1.5052421168,Muscle_Tissue,BNT,1.112,13.08,13.77,44.07,-23.88,3.369266055
MAY_2021,2021,MAY,C1.5,C1.5052421170,Muscle_Tissue,BNT,1.024,13.25,12.6,44.46,-25.94,3.355471698
MAY_2021,2021,MAY,C2,C2052521002,Muscle_Tissue,MTS,1.061,13.19,13.36,46.09,-25.58,3.494313874
MAY_2021,2021,MAY,C2,C2052521004,Muscle_Tissue,MTS,0.999,13.2,13.92,45.88,-23.21,3.475757576
