YEAR,SEASON,OVERLAP,Sampling_date
2021,MAY,0.2855512359938966,2021-05-24
2021,AUGUST,0.6806354402970932,2021-08-02
2021,OCTOBER,0.421038309689084,2021-10-10
2022,MAY,0.3906057919112135,2022-05-23
2022,AUGUST,0.18220684680896973,2022-08-01
2022,OCTOBER,0.2839977332490073,2022-10-10
2023,MAY,0.3136697077808196,2023-05-15
2023,AUGUST,0.45708980895995127,2023-08-07
2023,OCTOBER,0.04313838026343074,2023-10-09
2024,MAY,0.37412505575850563,2024-05-13
2024,AUGUST,0.049878317817425764,2024-07-29
2024,OCTOBER,0.24879039141191298,2024-10-07
