"Date","Discharge_cfs","approval_status"
2021-04-01,242,"Approved"
2021-04-02,321,"Approved"
2021-04-03,329,"Approved"
2021-04-04,364,"Approved"
2021-04-05,380,"Approved"
2021-04-06,248,"Approved"
2021-04-07,194,"Approved"
2021-04-08,184,"Approved"
2021-04-09,209,"Approved"
2021-04-10,270,"Approved"
2021-04-11,271,"Approved"
2021-04-12,255,"Approved"
2021-04-13,197,"Approved"
2021-04-14,207,"Approved"
2021-04-15,264,"Approved"
2021-04-16,335,"Approved"
2021-04-17,437,"Approved"
2021-04-18,535,"Approved"
2021-04-19,564,"Approved"
2021-04-20,590,"Approved"
2021-04-21,654,"Approved"
2021-04-22,649,"Approved"
2021-04-23,672,"Approved"
2021-04-24,649,"Approved"
2021-04-25,454,"Approved"
2021-04-26,319,"Approved"
2021-04-27,415,"Approved"
2021-04-28,472,"Approved"
2021-04-29,457,"Approved"
2021-04-30,204,"Approved"
2021-05-01,79.2,"Approved"
2021-05-02,72,"Approved"
2021-05-03,71.8,"Approved"
2021-05-04,71.4,"Approved"
2021-05-05,71.3,"Approved"
2021-05-06,71.3,"Approved"
2021-05-07,71.3,"Approved"
2021-05-08,71.4,"Approved"
2021-05-09,71.5,"Approved"
2021-05-10,72.1,"Approved"
2021-05-11,75.2,"Approved"
2021-05-12,77.8,"Approved"
2021-05-13,77.8,"Approved"
2021-05-14,77.8,"Approved"
2021-05-15,77.8,"Approved"
2021-05-16,77.9,"Approved"
2021-05-17,78.2,"Approved"
2021-05-18,78.1,"Approved"
2021-05-19,78.2,"Approved"
2021-05-20,78.1,"Approved"
2021-05-21,78.6,"Approved"
2021-05-22,78.6,"Approved"
2021-05-23,78.9,"Approved"
2021-05-24,78.9,"Approved"
2021-05-25,78.9,"Approved"
2021-05-26,78.9,"Approved"
2021-05-27,79,"Approved"
2021-05-28,79.3,"Approved"
2021-05-29,79.7,"Approved"
2021-05-30,80,"Approved"
2021-05-31,79.9,"Approved"
2021-06-01,80,"Approved"
2021-06-02,72.7,"Approved"
2021-06-03,60.6,"Approved"
2021-06-04,60.6,"Approved"
2021-06-05,60.7,"Approved"
2021-06-06,61.1,"Approved"
2021-06-07,64.4,"Approved"
2021-06-08,66.4,"Approved"
2021-06-09,66.6,"Approved"
2021-06-10,66.8,"Approved"
2021-06-11,67,"Approved"
2021-06-12,67.1,"Approved"
2021-06-13,67.1,"Approved"
2021-06-14,67.2,"Approved"
2021-06-15,67.3,"Approved"
2021-06-16,67.4,"Approved"
2021-06-17,67.4,"Approved"
2021-06-18,67.4,"Approved"
2021-06-19,67.9,"Approved"
2021-06-20,67.8,"Approved"
2021-06-21,67.8,"Approved"
2021-06-22,67.9,"Approved"
2021-06-23,94.3,"Approved"
2021-06-24,102,"Approved"
2021-06-25,96.8,"Approved"
2021-06-26,95.8,"Approved"
2021-06-27,96.5,"Approved"
2021-06-28,120,"Approved"
2021-06-29,189,"Approved"
2021-06-30,161,"Approved"
2021-07-01,108,"Approved"
2021-07-02,107,"Approved"
2021-07-03,103,"Approved"
2021-07-04,101,"Approved"
2021-07-05,101,"Approved"
2021-07-06,99.9,"Approved"
2021-07-07,120,"Approved"
2021-07-08,188,"Approved"
2021-07-09,314,"Approved"
2021-07-10,363,"Approved"
2021-07-11,438,"Approved"
2021-07-12,547,"Approved"
2021-07-13,569,"Approved"
2021-07-14,567,"Approved"
2021-07-15,537,"Approved"
2021-07-16,479,"Approved"
2021-07-17,485,"Approved"
2021-07-18,439,"Approved"
2021-07-19,488,"Approved"
2021-07-20,552,"Approved"
2021-07-21,616,"Approved"
2021-07-22,646,"Approved"
2021-07-23,563,"Approved"
2021-07-24,492,"Approved"
2021-07-25,459,"Approved"
2021-07-26,508,"Approved"
2021-07-27,634,"Approved"
2021-07-28,639,"Approved"
2021-07-29,690,"Approved"
2021-07-30,539,"Approved"
2021-07-31,431,"Approved"
2021-08-01,288,"Approved"
2021-08-02,105,"Approved"
2021-08-03,169,"Approved"
2021-08-04,311,"Approved"
2021-08-05,490,"Approved"
2021-08-06,540,"Approved"
2021-08-07,590,"Approved"
2021-08-08,625,"Approved"
2021-08-09,615,"Approved"
2021-08-10,604,"Approved"
2021-08-11,622,"Approved"
2021-08-12,644,"Approved"
2021-08-13,699,"Approved"
2021-08-14,685,"Approved"
2021-08-15,678,"Approved"
2021-08-16,662,"Approved"
2021-08-17,681,"Approved"
2021-08-18,727,"Approved"
2021-08-19,769,"Approved"
2021-08-20,765,"Approved"
2021-08-21,680,"Approved"
2021-08-22,457,"Approved"
2021-08-23,387,"Approved"
2021-08-24,404,"Approved"
2021-08-25,438,"Approved"
2021-08-26,484,"Approved"
2021-08-27,500,"Approved"
2021-08-28,485,"Approved"
2021-08-29,473,"Approved"
2021-08-30,475,"Approved"
2021-08-31,525,"Approved"
2021-09-01,548,"Approved"
2021-09-02,536,"Approved"
2021-09-03,506,"Approved"
2021-09-04,506,"Approved"
2021-09-05,481,"Approved"
2021-09-06,437,"Approved"
2021-09-07,460,"Approved"
2021-09-08,457,"Approved"
2021-09-09,482,"Approved"
2021-09-10,502,"Approved"
2021-09-11,459,"Approved"
2021-09-12,380,"Approved"
2021-09-13,347,"Approved"
2021-09-14,380,"Approved"
2021-09-15,397,"Approved"
2021-09-16,411,"Approved"
2021-09-17,463,"Approved"
2021-09-18,400,"Approved"
2021-09-19,320,"Approved"
2021-09-20,274,"Approved"
2021-09-21,229,"Approved"
2021-09-22,215,"Approved"
2021-09-23,212,"Approved"
2021-09-24,165,"Approved"
2021-09-25,177,"Approved"
2021-09-26,195,"Approved"
2021-09-27,219,"Approved"
2021-09-28,250,"Approved"
2021-09-29,210,"Approved"
2021-09-30,160,"Approved"
2021-10-01,102,"Approved"
2021-10-02,106,"Approved"
2021-10-03,107,"Approved"
2021-10-04,108,"Approved"
2021-10-05,103,"Approved"
2021-10-06,102,"Approved"
2021-10-07,159,"Approved"
2021-10-08,264,"Approved"
2021-10-09,251,"Approved"
2021-10-10,277,"Approved"
2021-10-11,312,"Approved"
2021-10-12,315,"Approved"
2021-10-13,311,"Approved"
2021-10-14,325,"Approved"
2021-10-15,353,"Approved"
2021-10-16,359,"Approved"
2021-10-17,353,"Approved"
2021-10-18,389,"Approved"
2021-10-19,406,"Approved"
2021-10-20,405,"Approved"
2021-10-21,401,"Approved"
2021-10-22,405,"Approved"
2021-10-23,405,"Approved"
2021-10-24,404,"Approved"
2021-10-25,382,"Approved"
2021-10-26,353,"Approved"
2021-10-27,342,"Approved"
2021-10-28,279,"Approved"
2021-10-29,236,"Approved"
2021-10-30,224,"Approved"
2021-10-31,237,"Approved"
2021-11-01,238,"Approved"
2021-11-02,251,"Approved"
2021-11-03,282,"Approved"
2021-11-04,284,"Approved"
2021-11-05,286,"Approved"
2021-11-06,281,"Approved"
2021-11-07,278,"Approved"
2021-11-08,283,"Approved"
2021-11-09,278,"Approved"
2021-11-10,283,"Approved"
2021-11-11,307,"Approved"
2021-11-12,301,"Approved"
2021-11-13,302,"Approved"
2021-11-14,298,"Approved"
2021-11-15,289,"Approved"
2021-11-16,275,"Approved"
2021-11-17,276,"Approved"
2021-11-18,281,"Approved"
2021-11-19,281,"Approved"
2021-11-20,281,"Approved"
2021-11-21,280,"Approved"
2021-11-22,261,"Approved"
2021-11-23,218,"Approved"
2021-11-24,201,"Approved"
2021-11-25,201,"Approved"
2021-11-26,194,"Approved"
2021-11-27,177,"Approved"
2021-11-28,166,"Approved"
2021-11-29,163,"Approved"
2021-11-30,164,"Approved"
2021-12-01,159,"Approved"
2021-12-02,158,"Approved"
2021-12-03,160,"Approved"
2021-12-04,161,"Approved"
2021-12-05,161,"Approved"
2021-12-06,163,"Approved"
2021-12-07,169,"Approved"
2021-12-08,168,"Approved"
2021-12-09,161,"Approved"
2021-12-10,153,"Approved"
2021-12-11,153,"Approved"
2021-12-12,153,"Approved"
2021-12-13,152,"Approved"
2021-12-14,150,"Approved"
2021-12-15,153,"Approved"
2021-12-16,155,"Approved"
2021-12-17,171,"Approved"
2021-12-18,183,"Approved"
2021-12-19,184,"Approved"
2021-12-20,186,"Approved"
2021-12-21,183,"Approved"
2021-12-22,174,"Approved"
2021-12-23,166,"Approved"
2021-12-24,170,"Approved"
2021-12-25,187,"Approved"
2021-12-26,201,"Approved"
2021-12-27,216,"Approved"
2021-12-28,226,"Approved"
2021-12-29,236,"Approved"
2021-12-30,246,"Approved"
2021-12-31,244,"Approved"
2022-01-01,248,"Approved"
2022-01-02,266,"Approved"
2022-01-03,265,"Approved"
2022-01-04,263,"Approved"
2022-01-05,289,"Approved"
2022-01-06,263,"Approved"
2022-01-07,266,"Approved"
2022-01-08,263,"Approved"
2022-01-09,263,"Approved"
2022-01-10,265,"Approved"
2022-01-11,265,"Approved"
2022-01-12,265,"Approved"
2022-01-13,265,"Approved"
2022-01-14,262,"Approved"
2022-01-15,263,"Approved"
2022-01-16,261,"Approved"
2022-01-17,263,"Approved"
2022-01-18,239,"Approved"
2022-01-19,202,"Approved"
2022-01-20,203,"Approved"
2022-01-21,202,"Approved"
2022-01-22,200,"Approved"
2022-01-23,198,"Approved"
2022-01-24,186,"Approved"
2022-01-25,170,"Approved"
2022-01-26,172,"Approved"
2022-01-27,172,"Approved"
2022-01-28,188,"Approved"
2022-01-29,195,"Approved"
2022-01-30,184,"Approved"
2022-01-31,174,"Approved"
2022-02-01,174,"Approved"
2022-02-02,174,"Approved"
2022-02-03,174,"Approved"
2022-02-04,174,"Approved"
2022-02-05,174,"Approved"
2022-02-06,175,"Approved"
2022-02-07,180,"Approved"
2022-02-08,188,"Approved"
2022-02-09,184,"Approved"
2022-02-10,177,"Approved"
2022-02-11,171,"Approved"
2022-02-12,163,"Approved"
2022-02-13,164,"Approved"
2022-02-14,169,"Approved"
2022-02-15,159,"Approved"
2022-02-16,158,"Approved"
2022-02-17,169,"Approved"
2022-02-18,180,"Approved"
2022-02-19,178,"Approved"
2022-02-20,178,"Approved"
2022-02-21,178,"Approved"
2022-02-22,191,"Approved"
2022-02-23,204,"Approved"
2022-02-24,205,"Approved"
2022-02-25,207,"Approved"
2022-02-26,205,"Approved"
2022-02-27,206,"Approved"
2022-02-28,207,"Approved"
2022-03-01,203,"Approved"
2022-03-02,197,"Approved"
2022-03-03,199,"Approved"
2022-03-04,202,"Approved"
2022-03-05,203,"Approved"
2022-03-06,202,"Approved"
2022-03-07,202,"Approved"
2022-03-08,203,"Approved"
2022-03-09,201,"Approved"
2022-03-10,203,"Approved"
2022-03-11,201,"Approved"
2022-03-12,182,"Approved"
2022-03-13,181,"Approved"
2022-03-14,182,"Approved"
2022-03-15,181,"Approved"
2022-03-16,183,"Approved"
2022-03-17,179,"Approved"
2022-03-18,179,"Approved"
2022-03-19,182,"Approved"
2022-03-20,183,"Approved"
2022-03-21,196,"Approved"
2022-03-22,211,"Approved"
2022-03-23,211,"Approved"
2022-03-24,210,"Approved"
2022-03-25,208,"Approved"
2022-03-26,202,"Approved"
2022-03-27,193,"Approved"
2022-03-28,195,"Approved"
2022-03-29,196,"Approved"
2022-03-30,215,"Approved"
2022-03-31,255,"Approved"
2022-04-01,276,"Approved"
2022-04-02,306,"Approved"
2022-04-03,304,"Approved"
2022-04-04,263,"Approved"
2022-04-05,270,"Approved"
2022-04-06,308,"Approved"
2022-04-07,337,"Approved"
2022-04-08,333,"Approved"
2022-04-09,315,"Approved"
2022-04-10,346,"Approved"
2022-04-11,425,"Approved"
2022-04-12,542,"Approved"
2022-04-13,469,"Approved"
2022-04-14,457,"Approved"
2022-04-15,462,"Approved"
2022-04-16,504,"Approved"
2022-04-17,431,"Approved"
2022-04-18,297,"Approved"
2022-04-19,136,"Approved"
2022-04-20,101,"Approved"
2022-04-21,102,"Approved"
2022-04-22,104,"Approved"
2022-04-23,106,"Approved"
2022-04-24,105,"Approved"
2022-04-25,107,"Approved"
2022-04-26,109,"Approved"
2022-04-27,109,"Approved"
2022-04-28,107,"Approved"
2022-04-29,106,"Approved"
2022-04-30,106,"Approved"
2022-05-01,106,"Approved"
2022-05-02,85.7,"Approved"
2022-05-03,73.4,"Approved"
2022-05-04,73.5,"Approved"
2022-05-05,73.3,"Approved"
2022-05-06,73.1,"Approved"
2022-05-07,72.9,"Approved"
2022-05-08,72.8,"Approved"
