agency_cd,site_no,Date,Discharge_cfs,Qualifier
USGS,09057500,2020-01-01,182,A
USGS,09057500,2020-01-02,190,A
USGS,09057500,2020-01-03,202,A
USGS,09057500,2020-01-04,199,A
USGS,09057500,2020-01-05,198,A
USGS,09057500,2020-01-06,200,A
USGS,09057500,2020-01-07,201,A
USGS,09057500,2020-01-08,194,A
USGS,09057500,2020-01-09,176,A
USGS,09057500,2020-01-10,178,A
USGS,09057500,2020-01-11,181,A
USGS,09057500,2020-01-12,183,A
USGS,09057500,2020-01-13,176,A
USGS,09057500,2020-01-14,172,A
USGS,09057500,2020-01-15,171,A
USGS,09057500,2020-01-16,176,A
USGS,09057500,2020-01-17,175,A
USGS,09057500,2020-01-18,170,A
USGS,09057500,2020-01-19,173,A
USGS,09057500,2020-01-20,175,A
USGS,09057500,2020-01-21,174,A
USGS,09057500,2020-01-22,178,A
USGS,09057500,2020-01-23,173,A
USGS,09057500,2020-01-24,172,A
USGS,09057500,2020-01-25,171,A
USGS,09057500,2020-01-26,170,A
USGS,09057500,2020-01-27,171,A
USGS,09057500,2020-01-28,178,A
USGS,09057500,2020-01-29,175,A
USGS,09057500,2020-01-30,177,A
USGS,09057500,2020-01-31,179,A
USGS,09057500,2020-02-01,173,A
USGS,09057500,2020-02-02,174,A
USGS,09057500,2020-02-03,177,A
USGS,09057500,2020-02-04,178,A
USGS,09057500,2020-02-05,183,A
USGS,09057500,2020-02-06,199,A
USGS,09057500,2020-02-07,198,A
USGS,09057500,2020-02-08,196,A
USGS,09057500,2020-02-09,193,A
USGS,09057500,2020-02-10,212,A
USGS,09057500,2020-02-11,235,A
USGS,09057500,2020-02-12,235,A
USGS,09057500,2020-02-13,235,A
USGS,09057500,2020-02-14,232,A
USGS,09057500,2020-02-15,207,A
USGS,09057500,2020-02-16,196,A
USGS,09057500,2020-02-17,195,A
USGS,09057500,2020-02-18,188,A
USGS,09057500,2020-02-19,158,A
USGS,09057500,2020-02-20,157,A
USGS,09057500,2020-02-21,153,A
USGS,09057500,2020-02-22,157,A
USGS,09057500,2020-02-23,157,A
USGS,09057500,2020-02-24,159,A
USGS,09057500,2020-02-25,156,A
USGS,09057500,2020-02-26,156,A
USGS,09057500,2020-02-27,158,A
USGS,09057500,2020-02-28,162,A
USGS,09057500,2020-02-29,161,A
USGS,09057500,2020-03-01,203,A
USGS,09057500,2020-03-02,208,A
USGS,09057500,2020-03-03,208,A
USGS,09057500,2020-03-04,201,A
USGS,09057500,2020-03-05,193,A
USGS,09057500,2020-03-06,193,A
USGS,09057500,2020-03-07,191,A
USGS,09057500,2020-03-08,191,A
USGS,09057500,2020-03-09,190,A
USGS,09057500,2020-03-10,188,A
USGS,09057500,2020-03-11,184,A
USGS,09057500,2020-03-12,185,A
USGS,09057500,2020-03-13,174,A
USGS,09057500,2020-03-14,159,A
USGS,09057500,2020-03-15,157,A
USGS,09057500,2020-03-16,153,A
USGS,09057500,2020-03-17,140,A
USGS,09057500,2020-03-18,144,A
USGS,09057500,2020-03-19,145,A
USGS,09057500,2020-03-20,143,A
USGS,09057500,2020-03-21,140,A
USGS,09057500,2020-03-22,138,A
USGS,09057500,2020-03-23,159,A
USGS,09057500,2020-03-24,244,A
USGS,09057500,2020-03-25,287,A
USGS,09057500,2020-03-26,287,A
USGS,09057500,2020-03-27,276,A
USGS,09057500,2020-03-28,256,A
USGS,09057500,2020-03-29,256,A
USGS,09057500,2020-03-30,256,A
USGS,09057500,2020-03-31,255,A
USGS,09057500,2020-04-01,254,A
USGS,09057500,2020-04-02,255,A
USGS,09057500,2020-04-03,255,A
USGS,09057500,2020-04-04,254,A
USGS,09057500,2020-04-05,255,A
USGS,09057500,2020-04-06,253,A
USGS,09057500,2020-04-07,254,A
USGS,09057500,2020-04-08,254,A
USGS,09057500,2020-04-09,256,A
USGS,09057500,2020-04-10,257,A
USGS,09057500,2020-04-11,253,A
USGS,09057500,2020-04-12,256,A
USGS,09057500,2020-04-13,255,A
USGS,09057500,2020-04-14,255,A
USGS,09057500,2020-04-15,308,A
USGS,09057500,2020-04-16,353,A
USGS,09057500,2020-04-17,383,A
USGS,09057500,2020-04-18,415,A
USGS,09057500,2020-04-19,414,A
USGS,09057500,2020-04-20,387,A
USGS,09057500,2020-04-21,326,A
USGS,09057500,2020-04-22,274,A
USGS,09057500,2020-04-23,264,A
USGS,09057500,2020-04-24,263,A
USGS,09057500,2020-04-25,261,A
USGS,09057500,2020-04-26,266,A
USGS,09057500,2020-04-27,265,A
USGS,09057500,2020-04-28,262,A
USGS,09057500,2020-04-29,264,A
USGS,09057500,2020-04-30,265,A
USGS,09057500,2020-05-01,260,A
USGS,09057500,2020-05-02,263,A
USGS,09057500,2020-05-03,261,A
USGS,09057500,2020-05-04,259,A
USGS,09057500,2020-05-05,256,A
USGS,09057500,2020-05-06,262,A
USGS,09057500,2020-05-07,265,A
USGS,09057500,2020-05-08,265,A
USGS,09057500,2020-05-09,267,A
USGS,09057500,2020-05-10,266,A
USGS,09057500,2020-05-11,268,A
USGS,09057500,2020-05-12,265,A
USGS,09057500,2020-05-13,270,A
USGS,09057500,2020-05-14,269,A
USGS,09057500,2020-05-15,266,A
USGS,09057500,2020-05-16,256,A
USGS,09057500,2020-05-17,262,A
USGS,09057500,2020-05-18,256,A
USGS,09057500,2020-05-19,257,A
USGS,09057500,2020-05-20,258,A
USGS,09057500,2020-05-21,259,A
USGS,09057500,2020-05-22,255,A
USGS,09057500,2020-05-23,280,A
USGS,09057500,2020-05-24,345,A
USGS,09057500,2020-05-25,345,A
USGS,09057500,2020-05-26,346,A
USGS,09057500,2020-05-27,346,A
USGS,09057500,2020-05-28,341,A
USGS,09057500,2020-05-29,505,A
USGS,09057500,2020-05-30,1140,A
USGS,09057500,2020-05-31,1440,A
USGS,09057500,2020-06-01,1440,A
USGS,09057500,2020-06-02,1440,A
USGS,09057500,2020-06-03,1380,A
USGS,09057500,2020-06-04,968,A
USGS,09057500,2020-06-05,583,A
USGS,09057500,2020-06-06,286,A
USGS,09057500,2020-06-07,147,A
USGS,09057500,2020-06-08,145,A
USGS,09057500,2020-06-09,145,A
USGS,09057500,2020-06-10,135,A
USGS,09057500,2020-06-11,96.6,A
USGS,09057500,2020-06-12,97.1,A
USGS,09057500,2020-06-13,97.2,A
USGS,09057500,2020-06-14,101,A
USGS,09057500,2020-06-15,100,A
USGS,09057500,2020-06-16,98.8,A
USGS,09057500,2020-06-17,98.3,A
USGS,09057500,2020-06-18,100,A
USGS,09057500,2020-06-19,95.5,A
USGS,09057500,2020-06-20,98.4,A
USGS,09057500,2020-06-21,101,A
USGS,09057500,2020-06-22,104,A
USGS,09057500,2020-06-23,98.8,A
USGS,09057500,2020-06-24,285,A
USGS,09057500,2020-06-25,614,A
USGS,09057500,2020-06-26,813,A
USGS,09057500,2020-06-27,845,A
USGS,09057500,2020-06-28,883,A
USGS,09057500,2020-06-29,892,A
USGS,09057500,2020-06-30,830,A
USGS,09057500,2020-07-01,732,A
USGS,09057500,2020-07-02,645,A
USGS,09057500,2020-07-03,536,A
USGS,09057500,2020-07-04,517,A
USGS,09057500,2020-07-05,548,A
USGS,09057500,2020-07-06,593,A
USGS,09057500,2020-07-07,594,A
USGS,09057500,2020-07-08,563,A
USGS,09057500,2020-07-09,502,A
USGS,09057500,2020-07-10,453,A
USGS,09057500,2020-07-11,411,A
USGS,09057500,2020-07-12,381,A
USGS,09057500,2020-07-13,354,A
USGS,09057500,2020-07-14,338,A
USGS,09057500,2020-07-15,387,A
USGS,09057500,2020-07-16,483,A
USGS,09057500,2020-07-17,438,A
USGS,09057500,2020-07-18,433,A
USGS,09057500,2020-07-19,419,A
USGS,09057500,2020-07-20,390,A
USGS,09057500,2020-07-21,368,A
USGS,09057500,2020-07-22,365,A
USGS,09057500,2020-07-23,366,A
USGS,09057500,2020-07-24,363,A
USGS,09057500,2020-07-25,365,A
USGS,09057500,2020-07-26,365,A
USGS,09057500,2020-07-27,363,A
USGS,09057500,2020-07-28,344,A
USGS,09057500,2020-07-29,357,A
USGS,09057500,2020-07-30,420,A
USGS,09057500,2020-07-31,451,A
USGS,09057500,2020-08-01,528,A
USGS,09057500,2020-08-02,594,A
USGS,09057500,2020-08-03,616,A
USGS,09057500,2020-08-04,615,A
USGS,09057500,2020-08-05,615,A
USGS,09057500,2020-08-06,693,A
USGS,09057500,2020-08-07,815,A
USGS,09057500,2020-08-08,815,A
USGS,09057500,2020-08-09,815,A
USGS,09057500,2020-08-10,817,A
USGS,09057500,2020-08-11,868,A
USGS,09057500,2020-08-12,927,A
USGS,09057500,2020-08-13,898,A
USGS,09057500,2020-08-14,854,A
USGS,09057500,2020-08-15,853,A
USGS,09057500,2020-08-16,849,A
USGS,09057500,2020-08-17,872,A
USGS,09057500,2020-08-18,887,A
USGS,09057500,2020-08-19,871,A
USGS,09057500,2020-08-20,828,A
USGS,09057500,2020-08-21,825,A
USGS,09057500,2020-08-22,822,A
USGS,09057500,2020-08-23,827,A
USGS,09057500,2020-08-24,830,A
USGS,09057500,2020-08-25,822,A
USGS,09057500,2020-08-26,803,A
USGS,09057500,2020-08-27,802,A
USGS,09057500,2020-08-28,821,A
USGS,09057500,2020-08-29,852,A
USGS,09057500,2020-08-30,842,A
USGS,09057500,2020-08-31,781,A
USGS,09057500,2020-09-01,750,A
USGS,09057500,2020-09-02,750,A
USGS,09057500,2020-09-03,753,A
USGS,09057500,2020-09-04,769,A
USGS,09057500,2020-09-05,803,A
USGS,09057500,2020-09-06,797,A
