Sampling_date,Site,Replicate_number,Algae_Type,Concentration
2023-01-15,C1.5,1,Diatoms,3.18
2023-01-15,C1.5,2,Diatoms,1.31
2023-01-15,C1.5,3,Diatoms,1.5
2023-01-15,C1.5,4,Diatoms,1.65
2023-01-15,C1.5,5,Diatoms,0.12
2023-01-15,C1.5,6,Diatoms,0.17
2023-01-15,C1.5,7,Diatoms,2.23
2023-01-15,C1.5,8,Diatoms,2.49
2023-01-15,C1.5,9,Diatoms,0.66
2023-01-15,C1.5,10,Diatoms,0.15
2023-01-15,C1.5,11,Diatoms,5.88
2023-01-15,C1.5,12,Diatoms,0.56
2023-01-15,C1.5,13,Diatoms,0.04
2023-01-15,C1.5,14,Diatoms,0.72
2023-01-15,C1.5,15,Diatoms,3.81
2023-01-15,C1.5,16,Diatoms,2.11
2023-01-15,C1.5,17,Diatoms,0.7
2023-01-15,C1.5,18,Diatoms,1.33
2023-01-15,C1.5,19,Diatoms,2.32
2023-01-15,C1.5,20,Diatoms,2.21
2023-01-15,C2,1,Diatoms,0.18
2023-01-15,C2,2,Diatoms,1.6
2023-01-15,C2,3,Diatoms,0.39
2023-01-15,C2,4,Diatoms,0.86
2023-01-15,C2,5,Diatoms,0.89
2023-01-15,C2,6,Diatoms,0.92
2023-01-15,C2,7,Diatoms,0.44
2023-01-15,C2,8,Diatoms,0.68
2023-01-15,C2,9,Diatoms,4.64
2023-01-15,C2,10,Diatoms,0.04
2023-01-15,C2,11,Diatoms,0.64
2023-01-15,C2,12,Diatoms,1.89
2023-01-15,C2,13,Diatoms,2.11
2023-01-15,C2,14,Diatoms,1.81
2023-01-15,C2,15,Diatoms,1.05
2023-01-15,C2,16,Diatoms,1
2023-01-15,C2,17,Diatoms,0.18
2023-01-15,C2,18,Diatoms,0.07
2023-01-15,C2,19,Diatoms,0.89
2023-01-15,C2,20,Diatoms,0.65
2023-01-15,T1,1,Diatoms,0.31
2023-01-15,T1,2,Diatoms,1.24
2023-01-15,T1,3,Diatoms,0.29
2023-01-15,T1,4,Diatoms,1.29
2023-01-15,T1,5,Diatoms,0.79
2023-01-15,T1,6,Diatoms,0.04
2023-01-15,T1,7,Diatoms,0.09
2023-01-15,T1,8,Diatoms,0.14
2023-01-15,T1,9,Diatoms,0.02
2023-01-15,T1,10,Diatoms,0.22
2023-01-15,T1,11,Diatoms,6.41
2023-01-15,T1,12,Diatoms,0
2023-01-15,T1,13,Diatoms,0
2023-01-15,T1,14,Diatoms,1.23
2023-01-15,T1,15,Diatoms,0.31
2023-01-15,T1,16,Diatoms,0.28
2023-01-15,T1,17,Diatoms,0
2023-01-15,T1,18,Diatoms,0.03
2023-01-15,T1,19,Diatoms,0
2023-01-15,T1,20,Diatoms,0
2023-01-15,T2,1,Diatoms,4.53
2023-01-15,T2,2,Diatoms,4.74
2023-01-15,T2,3,Diatoms,1.17
