"Date","Discharge_cfs","approval_status","sampled","velocity"
2022-10-02,150,"Approved","no","no"
2022-10-03,215,"Approved","no","no"
2022-10-04,221,"Approved","no","no"
2022-10-05,190,"Approved","no","no"
2022-10-06,180,"Approved","no","no"
2022-10-07,194,"Approved","no","no"
2022-10-08,206,"Approved","no","no"
2022-10-09,219,"Approved","no","no"
2022-10-10,243,"Approved","no","no"
2022-10-11,272,"Approved","no","no"
2022-10-12,340,"Approved","no","no"
2022-10-13,419,"Approved","no","no"
2022-10-14,576,"Approved","no","no"
2022-10-15,626,"Approved","no","no"
2022-10-16,646,"Approved","no","no"
2022-10-17,650,"Approved","no","no"
2022-10-18,636,"Approved","no","no"
2022-10-19,640,"Approved","no","no"
2022-10-20,671,"Approved","no","no"
2022-10-21,719,"Approved","no","no"
2022-10-22,755,"Approved","no","no"
2022-10-23,746,"Approved","no","no"
2022-10-24,670,"Approved","no","no"
2022-10-25,568,"Approved","no","no"
2022-10-26,493,"Approved","no","no"
2022-10-27,364,"Approved","no","no"
2022-10-28,285,"Approved","no","no"
2022-10-29,202,"Approved","no","no"
2022-10-30,160,"Approved","no","no"
2022-10-31,157,"Approved","no","no"
2022-11-01,155,"Approved","no","no"
2022-11-02,152,"Approved","no","no"
2022-11-03,153,"Approved","no","no"
2022-11-04,156,"Approved","no","no"
2022-11-05,166,"Approved","no","no"
2022-11-06,164,"Approved","no","no"
2022-11-07,168,"Approved","no","no"
2022-11-08,169,"Approved","no","no"
2022-11-09,171,"Approved","no","no"
2022-11-10,180,"Approved","no","no"
2022-11-11,200,"Approved","no","no"
2022-11-12,203,"Approved","no","no"
2022-11-13,201,"Approved","no","no"
2022-11-14,189,"Approved","no","no"
2022-11-15,182,"Approved","no","no"
2022-11-16,181,"Approved","no","no"
2022-11-17,179,"Approved","no","no"
2022-11-18,177,"Approved","no","no"
2022-11-19,173,"Approved","no","no"
2022-11-20,177,"Approved","no","no"
2022-11-21,176,"Approved","no","no"
2022-11-22,172,"Approved","no","no"
2022-11-23,177,"Approved","no","no"
2022-11-24,175,"Approved","no","no"
2022-11-25,172,"Approved","no","no"
2022-11-26,172,"Approved","no","no"
2022-11-27,170,"Approved","no","no"
2022-11-28,173,"Approved","no","no"
2022-11-29,177,"Approved","no","no"
2022-11-30,180,"Approved","no","no"
2022-12-01,191,"Approved","no","no"
2022-12-02,190,"Approved","no","no"
2022-12-03,201,"Approved","no","no"
2022-12-04,202,"Approved","no","no"
2022-12-05,196,"Approved","no","no"
2022-12-06,208,"Approved","no","no"
2022-12-07,236,"Approved","no","no"
2022-12-08,242,"Approved","no","no"
2022-12-09,244,"Approved","no","no"
2022-12-10,244,"Approved","no","no"
2022-12-11,243,"Approved","no","no"
2022-12-12,232,"Approved","no","no"
2022-12-13,225,"Approved","no","no"
2022-12-14,223,"Approved","no","no"
2022-12-15,225,"Approved","no","no"
